bound,threat,description,defence,asr,p95_latency_ms,fdr
"in-bound (k=2,m=2)",T1,Transducer spoofing,none,1.0,0.009,
"in-bound (k=2,m=2)",T1,Transducer spoofing,permission,0.0,0.063,
"in-bound (k=2,m=2)",T1,Transducer spoofing,corroboration,0.0,0.32,
"in-bound (k=2,m=2)",T1,Transducer spoofing,liveness,0.0,0.244,
"in-bound (k=2,m=2)",T1,Transducer spoofing,full,0.0,0.244,
"in-bound (k=2,m=2)",T2,Sensor masking,none,1.0,0.013,
"in-bound (k=2,m=2)",T2,Sensor masking,permission,0.0,0.056,
"in-bound (k=2,m=2)",T2,Sensor masking,corroboration,0.0,0.295,
"in-bound (k=2,m=2)",T2,Sensor masking,liveness,0.0,0.226,
"in-bound (k=2,m=2)",T2,Sensor masking,full,0.0,0.259,
"in-bound (k=2,m=2)",T3,RF replay,none,1.0,0.02,
"in-bound (k=2,m=2)",T3,RF replay,permission,0.0,0.039,
"in-bound (k=2,m=2)",T3,RF replay,corroboration,0.0,0.348,
"in-bound (k=2,m=2)",T3,RF replay,liveness,0.0,0.197,
"in-bound (k=2,m=2)",T3,RF replay,full,0.0,0.246,
"in-bound (k=2,m=2)",T4,Firmware compromise,none,1.0,0.013,
"in-bound (k=2,m=2)",T4,Firmware compromise,permission,0.0,0.051,
"in-bound (k=2,m=2)",T4,Firmware compromise,corroboration,0.0,0.268,
"in-bound (k=2,m=2)",T4,Firmware compromise,liveness,0.0,0.229,
"in-bound (k=2,m=2)",T4,Firmware compromise,full,0.0,0.246,
"in-bound (k=2,m=2)",T5,Selective jamming,none,1.0,0.013,
"in-bound (k=2,m=2)",T5,Selective jamming,permission,1.0,0.029,
"in-bound (k=2,m=2)",T5,Selective jamming,corroboration,0.0,0.164,
"in-bound (k=2,m=2)",T5,Selective jamming,liveness,0.0,0.132,
"in-bound (k=2,m=2)",T5,Selective jamming,full,0.0,0.242,
"in-bound (k=2,m=2)",T6,Cloud token theft,none,1.0,0.02,
"in-bound (k=2,m=2)",T6,Cloud token theft,permission,0.0,0.057,
"in-bound (k=2,m=2)",T6,Cloud token theft,corroboration,0.0,0.332,
"in-bound (k=2,m=2)",T6,Cloud token theft,liveness,0.0,0.332,
"in-bound (k=2,m=2)",T6,Cloud token theft,full,0.0,0.323,
"in-bound (k=2,m=2)",T7,Text injection (agent capture),none,1.0,0.018,
"in-bound (k=2,m=2)",T7,Text injection (agent capture),permission,0.0,0.197,
"in-bound (k=2,m=2)",T7,Text injection (agent capture),corroboration,0.0,0.224,
"in-bound (k=2,m=2)",T7,Text injection (agent capture),liveness,0.0,0.22,
"in-bound (k=2,m=2)",T7,Text injection (agent capture),full,0.0,0.221,
"in-bound (k=2,m=2)",T8,Multi-modal replay,none,1.0,0.006,
"in-bound (k=2,m=2)",T8,Multi-modal replay,permission,0.0,0.044,
"in-bound (k=2,m=2)",T8,Multi-modal replay,corroboration,0.0,0.271,
"in-bound (k=2,m=2)",T8,Multi-modal replay,liveness,0.0,0.182,
"in-bound (k=2,m=2)",T8,Multi-modal replay,full,0.0,0.183,
"in-bound (k=2,m=2)",T9,Calibration poisoning,none,1.0,0.009,
"in-bound (k=2,m=2)",T9,Calibration poisoning,permission,0.0,0.036,
"in-bound (k=2,m=2)",T9,Calibration poisoning,corroboration,0.0,0.364,
"in-bound (k=2,m=2)",T9,Calibration poisoning,liveness,0.0,0.232,
"in-bound (k=2,m=2)",T9,Calibration poisoning,full,0.0,0.2,
"in-bound (k=2,m=2)",T10,Staleness exploitation,none,1.0,0.015,
"in-bound (k=2,m=2)",T10,Staleness exploitation,permission,0.0,0.031,
"in-bound (k=2,m=2)",T10,Staleness exploitation,corroboration,0.0,0.154,
"in-bound (k=2,m=2)",T10,Staleness exploitation,liveness,0.0,0.258,
"in-bound (k=2,m=2)",T10,Staleness exploitation,full,0.0,0.172,
"in-bound (k=2,m=2)",T11,Challenge relay,none,1.0,0.021,
"in-bound (k=2,m=2)",T11,Challenge relay,permission,0.0,0.041,
"in-bound (k=2,m=2)",T11,Challenge relay,corroboration,0.0,0.179,
"in-bound (k=2,m=2)",T11,Challenge relay,liveness,0.0,0.169,
"in-bound (k=2,m=2)",T11,Challenge relay,full,0.0,0.19,
"in-bound (k=2,m=2)",T12,Tier laundering,none,1.0,0.007,
"in-bound (k=2,m=2)",T12,Tier laundering,permission,0.0,0.073,
"in-bound (k=2,m=2)",T12,Tier laundering,corroboration,0.0,0.205,
"in-bound (k=2,m=2)",T12,Tier laundering,liveness,0.0,0.564,
"in-bound (k=2,m=2)",T12,Tier laundering,full,0.0,0.219,
"in-bound (k=2,m=2)",T13,Escalation fatigue,none,1.0,0.014,
"in-bound (k=2,m=2)",T13,Escalation fatigue,permission,0.0,0.037,
"in-bound (k=2,m=2)",T13,Escalation fatigue,corroboration,0.0,0.376,
"in-bound (k=2,m=2)",T13,Escalation fatigue,liveness,0.0,0.175,
"in-bound (k=2,m=2)",T13,Escalation fatigue,full,0.0,0.193,
"in-bound (k=2,m=2)",T14,Time-sync attack,none,1.0,0.009,
"in-bound (k=2,m=2)",T14,Time-sync attack,permission,0.0,0.052,
"in-bound (k=2,m=2)",T14,Time-sync attack,corroboration,0.0,0.359,
"in-bound (k=2,m=2)",T14,Time-sync attack,liveness,0.0,0.211,
"in-bound (k=2,m=2)",T14,Time-sync attack,full,0.0,0.318,
"in-bound (k=2,m=2)",T15,Threshold gaming,none,1.0,0.034,
"in-bound (k=2,m=2)",T15,Threshold gaming,permission,0.0,0.109,
"in-bound (k=2,m=2)",T15,Threshold gaming,corroboration,0.0,0.346,
"in-bound (k=2,m=2)",T15,Threshold gaming,liveness,0.0,0.247,
"in-bound (k=2,m=2)",T15,Threshold gaming,full,0.0,0.253,
"in-bound (k=2,m=2)",T16,Attritional degradation,none,1.0,0.021,
"in-bound (k=2,m=2)",T16,Attritional degradation,permission,1.0,0.136,
"in-bound (k=2,m=2)",T16,Attritional degradation,corroboration,0.0,0.256,
"in-bound (k=2,m=2)",T16,Attritional degradation,liveness,0.0,0.106,
"in-bound (k=2,m=2)",T16,Attritional degradation,full,0.0,0.128,
"in-bound (k=2,m=2)",T17,Challenge laundering (hit-and-run),none,1.0,0.008,
"in-bound (k=2,m=2)",T17,Challenge laundering (hit-and-run),permission,1.0,0.022,
"in-bound (k=2,m=2)",T17,Challenge laundering (hit-and-run),corroboration,0.0,0.052,
"in-bound (k=2,m=2)",T17,Challenge laundering (hit-and-run),liveness,0.0,0.047,
"in-bound (k=2,m=2)",T17,Challenge laundering (hit-and-run),full,0.0,0.034,
"in-bound (k=2,m=2)",T18,Probe decoy,none,1.0,0.01,
"in-bound (k=2,m=2)",T18,Probe decoy,permission,0.0,0.045,
"in-bound (k=2,m=2)",T18,Probe decoy,corroboration,0.0,0.193,
"in-bound (k=2,m=2)",T18,Probe decoy,liveness,0.0,0.163,
"in-bound (k=2,m=2)",T18,Probe decoy,full,0.0,0.144,
"in-bound (k=2,m=2)",T19,Probe fingerprinting,none,1.0,0.009,
"in-bound (k=2,m=2)",T19,Probe fingerprinting,permission,0.0,0.023,
"in-bound (k=2,m=2)",T19,Probe fingerprinting,corroboration,0.0,0.128,
"in-bound (k=2,m=2)",T19,Probe fingerprinting,liveness,0.0,0.168,
"in-bound (k=2,m=2)",T19,Probe fingerprinting,full,0.0,0.205,
"worst-case (k=8,m=M)",T1,Transducer spoofing,none,1.0,0.008,
"worst-case (k=8,m=M)",T1,Transducer spoofing,permission,1.0,0.056,
"worst-case (k=8,m=M)",T1,Transducer spoofing,corroboration,1.0,0.289,
"worst-case (k=8,m=M)",T1,Transducer spoofing,liveness,1.0,0.197,
"worst-case (k=8,m=M)",T1,Transducer spoofing,full,0.0,0.289,
"worst-case (k=8,m=M)",T2,Sensor masking,none,1.0,0.04,
"worst-case (k=8,m=M)",T2,Sensor masking,permission,1.0,0.255,
"worst-case (k=8,m=M)",T2,Sensor masking,corroboration,1.0,0.454,
"worst-case (k=8,m=M)",T2,Sensor masking,liveness,1.0,0.403,
"worst-case (k=8,m=M)",T2,Sensor masking,full,0.0,0.471,
"worst-case (k=8,m=M)",T3,RF replay,none,1.0,0.015,
"worst-case (k=8,m=M)",T3,RF replay,permission,1.0,0.237,
"worst-case (k=8,m=M)",T3,RF replay,corroboration,0.0,0.1,
"worst-case (k=8,m=M)",T3,RF replay,liveness,0.0,0.211,
"worst-case (k=8,m=M)",T3,RF replay,full,0.0,0.259,
"worst-case (k=8,m=M)",T4,Firmware compromise,none,1.0,0.02,
"worst-case (k=8,m=M)",T4,Firmware compromise,permission,0.0,0.064,
"worst-case (k=8,m=M)",T4,Firmware compromise,corroboration,0.0,0.242,
"worst-case (k=8,m=M)",T4,Firmware compromise,liveness,0.0,0.462,
"worst-case (k=8,m=M)",T4,Firmware compromise,full,0.0,0.391,
"worst-case (k=8,m=M)",T5,Selective jamming,none,1.0,0.027,
"worst-case (k=8,m=M)",T5,Selective jamming,permission,1.0,0.064,
"worst-case (k=8,m=M)",T5,Selective jamming,corroboration,1.0,0.188,
"worst-case (k=8,m=M)",T5,Selective jamming,liveness,1.0,0.43,
"worst-case (k=8,m=M)",T5,Selective jamming,full,0.0,0.383,
"worst-case (k=8,m=M)",T6,Cloud token theft,none,1.0,0.016,
