attack,n_malicious,strategy,validation,mean_auc_honest
sign_flip,0,fedavg,False,0.8338
sign_flip,0,median,False,0.824
sign_flip,0,trimmed_mean,False,0.839
sign_flip,0,krum,False,0.8807
sign_flip,1,fedavg,False,0.3928
sign_flip,1,median,False,0.7712
sign_flip,1,trimmed_mean,False,0.772
sign_flip,1,krum,False,0.733
sign_flip,2,fedavg,False,0.4418
sign_flip,2,median,False,0.7608
sign_flip,2,trimmed_mean,False,0.7608
sign_flip,2,krum,False,0.7608
sign_flip,3,fedavg,False,0.3349
sign_flip,3,median,False,0.4184
sign_flip,3,trimmed_mean,False,0.4184
sign_flip,3,krum,False,0.4184
sign_flip,0,fedavg,True,0.8338
sign_flip,0,median,True,0.824
sign_flip,0,trimmed_mean,True,0.839
sign_flip,0,krum,True,0.8807
sign_flip,1,fedavg,True,0.8225
sign_flip,1,median,True,0.7934
sign_flip,1,trimmed_mean,True,0.8145
sign_flip,1,krum,True,0.735
sign_flip,2,fedavg,True,0.8297
sign_flip,2,median,True,0.8281
sign_flip,2,trimmed_mean,True,0.8281
sign_flip,2,krum,True,0.8281
sign_flip,3,fedavg,True,0.8488
sign_flip,3,median,True,0.8378
sign_flip,3,trimmed_mean,True,0.8378
sign_flip,3,krum,True,0.8378
scale,0,fedavg,False,0.8338
scale,0,median,False,0.824
scale,0,trimmed_mean,False,0.839
scale,0,krum,False,0.8807
scale,1,fedavg,False,0.7805
scale,1,median,False,0.8263
scale,1,trimmed_mean,False,0.8333
scale,1,krum,False,0.733
scale,2,fedavg,False,0.4441
scale,2,median,False,0.8386
scale,2,trimmed_mean,False,0.8386
scale,2,krum,False,0.8386
scale,3,fedavg,False,0.217
scale,3,median,False,0.4886
scale,3,trimmed_mean,False,0.4886
scale,3,krum,False,0.4886
scale,0,fedavg,True,0.8338
scale,0,median,True,0.824
scale,0,trimmed_mean,True,0.839
scale,0,krum,True,0.8807
scale,1,fedavg,True,0.8225
scale,1,median,True,0.7934
scale,1,trimmed_mean,True,0.8145
scale,1,krum,True,0.735
scale,2,fedavg,True,0.8297
scale,2,median,True,0.8281
scale,2,trimmed_mean,True,0.8281
scale,2,krum,True,0.8281
scale,3,fedavg,True,0.8488
scale,3,median,True,0.8378
scale,3,trimmed_mean,True,0.8378
scale,3,krum,True,0.8378
graph_poison,0,fedavg,True,0.8338
graph_poison,0,median,True,0.824
graph_poison,0,trimmed_mean,True,0.839
graph_poison,0,krum,True,0.8807
graph_poison,1,fedavg,True,0.8517
graph_poison,1,median,True,0.8255
graph_poison,1,trimmed_mean,True,0.8457
graph_poison,1,krum,True,0.7373
graph_poison,2,fedavg,True,0.8418
graph_poison,2,median,True,0.8304
graph_poison,2,trimmed_mean,True,0.8304
graph_poison,2,krum,True,0.8304
graph_poison,3,fedavg,True,0.8314
graph_poison,3,median,True,0.829
graph_poison,3,trimmed_mean,True,0.829
graph_poison,3,krum,True,0.829
