round,train_loss,global_auc,home-a-0,office-b-1,campus-c-2,clinic-d-3,retail-e-4,flat-f-5
1,5.21003,0.6008,0.5007,0.784,0.5194,0.6815,0.5905,0.5289
2,4.19595,0.6845,0.6084,0.8095,0.6015,0.8156,0.6313,0.6406
3,3.6308,0.7678,0.7262,0.8429,0.6679,0.9208,0.6864,0.7624
4,3.13503,0.8198,0.8176,0.8625,0.7354,0.9418,0.7185,0.8428
5,2.73705,0.8198,0.8442,0.8613,0.7391,0.858,0.7444,0.8719
6,2.44816,0.8023,0.8031,0.8518,0.7545,0.7753,0.7623,0.8667
7,2.22127,0.8141,0.8058,0.8488,0.7824,0.7816,0.7777,0.8882
8,2.06879,0.8344,0.8494,0.8393,0.8004,0.8262,0.7884,0.9028
9,1.96631,0.84,0.8314,0.8381,0.8194,0.8394,0.8117,0.8999
10,1.85544,0.8386,0.8075,0.8366,0.8317,0.8406,0.8213,0.8941
11,1.7891,0.8425,0.8113,0.8363,0.8379,0.8537,0.8357,0.8801
12,1.74642,0.8338,0.7873,0.8369,0.8342,0.8443,0.8356,0.8644
13,1.70032,0.8293,0.7552,0.8378,0.8382,0.8412,0.8424,0.8609
14,1.67414,0.834,0.7645,0.8413,0.8411,0.8354,0.8602,0.8614
15,1.64586,0.8295,0.7371,0.8374,0.8489,0.83,0.867,0.8564
